Model,Crypto,Train Start Date,Train End Date,Test Start Date,Test End Date,Predicted,Result,Consistency
gbc_model,bitcoin,2020-01-01,2023-06-29,2023-06-30,2023-07-19,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1",60.0%
gbc_model,bitcoin,2020-01-01,2023-07-03,2023-07-05,2023-07-19,"0,1,1,0,0,0,0,0,0,0,0,0,1,1,1","0,0,1,0,0,1,1,0,1,0,0,0,0,0,1",60.0%
gbc_model,bitcoin,2020-01-01,2023-07-03,2023-07-10,2023-07-19,"0,0,0,1,1,1,0,1,1,0","1,1,0,1,0,0,0,0,0,1",30.0%
gbc_model,bitcoin,2020-01-01,2023-07-03,2023-07-15,2023-07-19,"1,0,1,1,0","0,0,0,0,1",20.0%
gbc_model,bitcoin,2020-01-01,2023-07-03,2023-07-19,2023-07-19,0,1,0.0%
gbc_model,bitcoin,2020-01-01,2023-06-01,2023-06-02,2023-07-19,"0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1","1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1",54.17%
gbc_model,bitcoin,2023-05-14,2023-06-14,2023-06-15,2023-07-19,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1",51.43%
gbc_model,bitcoin,2023-04-14,2023-06-14,2023-06-15,2023-07-19,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1",51.43%
gbc_model,bitcoin,2023-03-14,2023-06-14,2023-06-15,2023-07-19,"1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1","1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1",57.14%
gbc_model,bitcoin,2023-02-14,2023-06-14,2023-06-15,2023-07-19,"1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0","1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1",54.29%
gbc_model,bitcoin,2023-01-14,2023-06-14,2023-06-15,2023-07-19,"1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1",57.14%
gbc_model,bitcoin,2023-06-14,2023-07-14,2023-07-15,2023-07-19,"1,0,0,1,1","0,0,0,0,1",60.0%
gbc_model,bitcoin,2023-05-14,2023-07-14,2023-07-15,2023-07-19,"1,1,1,1,1","0,0,0,0,1",20.0%
gbc_model,bitcoin,2023-04-14,2023-07-14,2023-07-15,2023-07-19,"1,0,0,0,0","0,0,0,0,1",60.0%
gbc_model,bitcoin,2023-03-14,2023-07-14,2023-07-15,2023-07-19,"1,0,0,0,1","0,0,0,0,1",80.0%
gbc_model,bitcoin,2023-02-14,2023-07-14,2023-07-15,2023-07-19,"1,0,0,1,1","0,0,0,0,1",60.0%
gbc_model,bitcoin,2020-01-01,2023-04-01,2023-04-02,2023-04-06,"1,1,1,0,1","0,0,1,1,0",20.0%
gbc_model,bitcoin,2020-01-01,2023-04-01,2023-04-02,2023-04-05,"0,1,1,0","0,0,1,1",50.0%
gbc_model,bitcoin,2020-01-01,2023-04-01,2023-04-02,2023-04-04,"1,1,1","0,0,1",33.33%
gbc_model,bitcoin,2020-01-01,2023-04-01,2023-04-02,2023-04-03,"0,1","0,0",50.0%
gbc_model,bitcoin,2020-01-01,2023-04-01,2023-04-02,2023-04-02,"0,1,1,0,0","0,0,1,1,0",60.0%
gbc_model,bitcoin,2020-01-01,2023-06-18,2023-06-19,2023-07-19,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1",54.84%
gbc_model,bitcoin,2020-01-01,2023-05-18,2023-05-19,2023-06-19,"0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0","1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1",65.62%
gbc_model,bitcoin,2020-01-01,2023-04-18,2023-04-19,2023-05-19,"0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1","0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1",41.94%
gbc_model,bitcoin,2020-01-01,2023-03-18,2023-03-19,2023-04-19,"0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0","1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0",40.62%
gbc_model,bitcoin,2020-01-01,2023-02-18,2023-02-19,2023-03-19,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0","0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1",51.72%
gbc_model,bitcoin,2020-01-01,2023-01-18,2023-01-19,2023-02-19,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0","1,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0",43.75%
gbc_model,bitcoin,2020-01-01,2022-12-18,2022-12-19,2023-01-19,"0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0","0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1",59.38%
gbc_model,bitcoin,2020-01-01,2022-11-18,2022-11-19,2022-12-19,"1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0","1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0",51.61%
gbc_model,bitcoin,2020-01-01,2022-10-18,2022-10-19,2022-11-19,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1","0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1",53.12%
gbc_model,bitcoin,2020-01-01,2022-09-18,2022-09-19,2022-10-19,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0",38.71%
gbc_model,bitcoin,2020-01-01,2021-01-01,2021-01-02,2021-02-02,"1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0","1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1",46.88%
gbc_model,bitcoin,2020-01-01,2021-02-01,2021-02-02,2021-03-02,"1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,1","1,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0",34.48%
gbc_model,bitcoin,2020-01-01,2021-03-01,2021-03-02,2021-04-02,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,0,1",59.38%
gbc_model,bitcoin,2020-01-01,2021-04-01,2021-04-02,2021-05-02,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0",41.94%
gbc_model,bitcoin,2020-01-01,2021-05-01,2021-05-02,2021-06-02,"1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1","0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1",50.0%
gbc_model,bitcoin,2020-01-01,2021-06-01,2021-06-02,2021-07-02,"0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1","1,1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1",48.39%
gbc_model,bitcoin,2020-01-01,2021-07-01,2021-07-02,2021-08-02,"1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0","1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0",62.5%
gbc_model,bitcoin,2020-01-01,2021-08-01,2021-08-02,2021-09-02,"0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1","0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1",46.88%
gbc_model,bitcoin,2020-01-01,2021-09-01,2021-09-02,2021-10-02,"1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1","1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,0",54.84%
gbc_model,bitcoin,2020-01-01,2021-10-01,2021-10-02,2021-11-02,"1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0","0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1",53.12%
gbc_model,bitcoin,2020-01-01,2023-06-24,2023-06-25,2023-07-15,"1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0","0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0",61.9%
gbc_model,bitcoin,2020-01-01,2023-06-04,2023-06-05,2023-06-25,"0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0,1","0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0",61.9%
gbc_model,bitcoin,2020-01-01,2023-05-14,2023-05-15,2023-06-05,"1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1","1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0",45.45%
gbc_model,bitcoin,2020-01-01,2023-04-24,2023-04-25,2023-05-15,"1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1","1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1",66.67%
gbc_model,bitcoin,2020-01-01,2023-04-04,2023-04-05,2023-04-25,"0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1","1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1",42.86%
gbc_model,bitcoin,2020-01-01,2023-02-24,2023-02-25,2023-03-15,"1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0","0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0",47.37%
gbc_model,bitcoin,2020-01-01,2023-02-04,2023-02-05,2023-02-25,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0",57.14%
gbc_model,bitcoin,2020-01-01,2023-01-14,2023-01-15,2023-02-05,"0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1","0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0",45.45%
gbc_model,bitcoin,2020-01-01,2022-12-24,2022-12-25,2023-01-15,"0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0","0,1,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0",54.55%
gbc_model,bitcoin,2021-01-01,2023-06-18,2023-06-19,2023-07-19,"0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0","1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1",67.74%
gbc_model,bitcoin,2021-01-01,2023-05-18,2023-05-19,2023-06-19,"0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1","1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1",59.38%
gbc_model,bitcoin,2021-01-01,2023-04-18,2023-04-19,2023-05-19,"0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0","0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1",41.94%
gbc_model,bitcoin,2021-01-01,2023-03-18,2023-03-19,2023-04-19,"0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0","1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0",50.0%
gbc_model,bitcoin,2021-01-01,2023-02-18,2023-02-19,2023-03-19,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0","0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1",51.72%
gbc_model,bitcoin,2021-01-01,2023-01-18,2023-01-19,2023-02-19,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0","1,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0",56.25%
gbc_model,bitcoin,2021-01-01,2022-12-18,2022-12-19,2023-01-19,"1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0","0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1",50.0%
gbc_model,bitcoin,2021-01-01,2022-11-18,2022-11-19,2022-12-19,"0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0","1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0",58.06%
gbc_model,bitcoin,2021-01-01,2022-10-18,2022-10-19,2022-11-19,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1","0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1",53.12%
gbc_model,bitcoin,2021-01-01,2022-09-18,2022-09-19,2022-10-19,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0",38.71%
gbc_model,bitcoin,2021-01-01,2021-02-01,2021-02-02,2021-03-02,"0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1","1,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0",37.93%
gbc_model,bitcoin,2021-01-01,2021-03-01,2021-03-02,2021-04-02,"1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0","0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,0,1",43.75%
gbc_model,bitcoin,2021-01-01,2021-04-01,2021-04-02,2021-05-02,"0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1","1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0",48.39%
gbc_model,bitcoin,2021-01-01,2021-05-01,2021-05-02,2021-06-02,"0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1","0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1",59.38%
gbc_model,bitcoin,2021-01-01,2021-06-01,2021-06-02,2021-07-02,"0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0","1,1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1",51.61%
gbc_model,bitcoin,2021-01-01,2021-07-01,2021-07-02,2021-08-02,"1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0","1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0",43.75%
gbc_model,bitcoin,2021-01-01,2021-08-01,2021-08-02,2021-09-02,"1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0","0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1",53.12%
gbc_model,bitcoin,2021-01-01,2021-09-01,2021-09-02,2021-10-02,"1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0","1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,0",54.84%
gbc_model,bitcoin,2021-01-01,2021-10-01,2021-10-02,2021-11-02,"0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0","0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1",56.25%
gbc_model,bitcoin,2021-01-01,2023-06-24,2023-06-25,2023-07-15,"0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1","0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0",57.14%
gbc_model,bitcoin,2021-01-01,2023-06-04,2023-06-05,2023-06-25,"0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1","0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0",33.33%
gbc_model,bitcoin,2021-01-01,2023-05-14,2023-05-15,2023-06-05,"0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0","1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0",45.45%
gbc_model,bitcoin,2021-01-01,2023-04-24,2023-04-25,2023-05-15,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1",47.62%
gbc_model,bitcoin,2021-01-01,2023-04-04,2023-04-05,2023-04-25,"0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0","1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1",57.14%
gbc_model,bitcoin,2021-01-01,2023-02-24,2023-02-25,2023-03-15,"0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0","0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0",47.37%
gbc_model,bitcoin,2021-01-01,2023-02-04,2023-02-05,2023-02-25,"0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1","0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0",33.33%
gbc_model,bitcoin,2021-01-01,2023-01-14,2023-01-15,2023-02-05,"1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0","0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0",59.09%
gbc_model,bitcoin,2021-01-01,2022-12-24,2022-12-25,2023-01-15,"1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0","0,1,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0",50.0%
gbc_model,bitcoin,2022-01-01,2023-06-18,2023-06-19,2023-07-19,"1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0","1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1",58.06%
gbc_model,bitcoin,2022-01-01,2023-05-18,2023-05-19,2023-06-19,"1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1","1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1",59.38%
gbc_model,bitcoin,2022-01-01,2023-04-18,2023-04-19,2023-05-19,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1",54.84%
gbc_model,bitcoin,2022-01-01,2023-03-18,2023-03-19,2023-04-19,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0","1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0",53.12%
gbc_model,bitcoin,2022-01-01,2023-02-18,2023-02-19,2023-03-19,"0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0","0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1",58.62%
gbc_model,bitcoin,2022-01-01,2023-01-18,2023-01-19,2023-02-19,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0","1,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0",59.38%
gbc_model,bitcoin,2022-01-01,2022-12-18,2022-12-19,2023-01-19,"1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0","0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1",53.12%
